make_year,ext_make_year,make_target,make_freq,model_target,model_freq,transmission_target,transmission_freq,body_type_target,body_type_target,fuel_type_Diesel,fuel_type_Gasoline,kms_driven,engine_size,resale_price,srp,no_sc_mmnl
2020,2024,548857.1964662132,0.039609993906154786,844108.8658722449,0.0042656916514320535,753252.8193717279,0.2327848872638635,875357.4906382348,875357.4906382348,0,1,21000.0,1.6,528000.0,743000.0,9
2019,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,1102810.8291457286,0.6063375990249847,875357.4906382348,875357.4906382348,0,1,10000.0,1.5,630000.0,954000.0,9
2020,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,753252.8193717279,0.2327848872638635,875357.4906382348,875357.4906382348,0,1,30000.0,1.5,515000.0,954000.0,9
2015,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,1102810.8291457286,0.6063375990249847,875357.4906382348,875357.4906382348,0,1,70000.0,1.4,430000.0,954000.0,9
2019,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,1102810.8291457286,0.6063375990249847,875357.4906382348,875357.4906382348,0,1,50000.0,1.5,565000.0,954000.0,9
2019,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,753252.8193717279,0.2327848872638635,875357.4906382348,875357.4906382348,0,1,40000.0,1.5,505000.0,954000.0,9
2019,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,1102810.8291457286,0.6063375990249847,875357.4906382348,875357.4906382348,0,1,40000.0,1.5,615000.0,954000.0,9
2017,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,753252.8193717279,0.2327848872638635,875357.4906382348,875357.4906382348,0,1,38000.0,1.4,498000.0,954000.0,9
2020,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,1102810.8291457286,0.6063375990249847,875357.4906382348,875357.4906382348,0,1,20000.0,1.5,690000.0,954000.0,9
2019,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,753252.8193717279,0.2327848872638635,875357.4906382348,875357.4906382348,0,1,43000.0,1.5,548000.0,954000.0,9
2020,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,1102810.8291457286,0.6063375990249847,875357.4906382348,875357.4906382348,0,1,12387.0,1.5,700000.0,954000.0,9
2020,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,1102810.8291457286,0.6063375990249847,875357.4906382348,875357.4906382348,0,1,12400.0,1.5,788000.0,954000.0,9
2019,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,753252.8193717279,0.2327848872638635,875357.4906382348,875357.4906382348,0,1,38000.0,1.46,558000.0,954000.0,9
2019,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,753252.8193717279,0.2327848872638635,875357.4906382348,875357.4906382348,0,1,1.0,1.46,665000.0,954000.0,9
2018,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,1102810.8291457286,0.6063375990249847,875357.4906382348,875357.4906382348,0,1,9000.0,1.46,678000.0,954000.0,9
2019,2024,548857.1964662132,0.039609993906154786,786204.1012267602,0.01340645947592931,1102810.8291457286,0.6063375990249847,875357.4906382348,875357.4906382348,0,1,17000.0,1.46,688000.0,954000.0,9
